epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,696.358,1.22283,1.45009,1.05283,0.65331,0.61248,0.75915,0.46605,1.23625,2.39219,1.06279,0.000984864,0.000984864,0.000984864
64,707.139,1.20875,1.27517,1.0515,0.66578,0.82496,0.85053,0.51383,1.18824,2.16825,1.0364,0.000973861,0.000973861,0.000973861
65,717.664,1.31456,1.45659,1.06355,0.66578,0.82496,0.85053,0.51383,1.18824,2.16825,1.0364,0.000962859,0.000962859,0.000962859
66,729.535,1.25124,1.39761,1.09796,0.85403,0.89649,0.91925,0.53735,1.1681,1.97453,1.00954,0.000951857,0.000951857,0.000951857
67,741.895,1.2228,1.3919,1.06835,0.85403,0.89649,0.91925,0.53735,1.1681,1.97453,1.00954,0.000940855,0.000940855,0.000940855
68,753.47,1.11475,1.27753,1.0227,0.90855,0.87583,0.93282,0.55591,1.12748,1.83648,0.98008,0.000929853,0.000929853,0.000929853
69,764.363,1.20481,1.47316,1.05646,0.90855,0.87583,0.93282,0.55591,1.12748,1.83648,0.98008,0.00091885,0.00091885,0.00091885
70,777.123,1.17964,1.496,1.03922,0.85869,0.94,0.93736,0.58391,1.06493,1.77949,0.96936,0.000907848,0.000907848,0.000907848
71,788.823,1.25095,1.32817,0.93628,0.85869,0.94,0.93736,0.58391,1.06493,1.77949,0.96936,0.000896846,0.000896846,0.000896846
72,799.282,1.19669,1.38951,1.03876,0.93735,0.96922,0.96843,0.62175,1.02441,1.83843,0.96944,0.000885844,0.000885844,0.000885844
73,809.953,1.11128,1.36935,1.02306,0.93735,0.96922,0.96843,0.62175,1.02441,1.83843,0.96944,0.000874842,0.000874842,0.000874842
74,820.554,1.31035,1.45381,1.0426,0.92287,0.96,0.95245,0.58438,1.06228,1.75734,0.99579,0.000863839,0.000863839,0.000863839
75,831.133,1.30302,1.46356,1.06648,0.92287,0.96,0.95245,0.58438,1.06228,1.75734,0.99579,0.000852837,0.000852837,0.000852837
76,841.627,1.13963,1.25382,0.95435,0.94381,0.92759,0.97329,0.63466,1.01915,1.57096,0.98648,0.000841835,0.000841835,0.000841835
77,852.422,0.98482,1.28683,1.05363,0.94381,0.92759,0.97329,0.63466,1.01915,1.57096,0.98648,0.000830833,0.000830833,0.000830833
78,863.098,1.31609,1.4392,1.06631,0.88636,0.95323,0.96032,0.67812,0.98608,1.52028,0.96347,0.000819831,0.000819831,0.000819831
79,873.688,1.18542,1.40814,0.98613,0.88636,0.95323,0.96032,0.67812,0.98608,1.52028,0.96347,0.000808828,0.000808828,0.000808828
80,884.011,1.2553,1.53593,1.12758,0.85951,0.92722,0.92814,0.64932,0.97465,1.49376,0.95723,0.000797826,0.000797826,0.000797826
81,894.469,0.96015,0.99971,1.02407,0.85951,0.92722,0.92814,0.64932,0.97465,1.49376,0.95723,0.000786824,0.000786824,0.000786824
82,904.828,1.13567,1.28955,1.05102,0.8666,0.901,0.93401,0.62312,1.02316,1.49111,0.95318,0.000775822,0.000775822,0.000775822
83,915.552,1.04264,1.365,1.02719,0.8666,0.901,0.93401,0.62312,1.02316,1.49111,0.95318,0.00076482,0.00076482,0.00076482
84,926.054,1.11634,1.3066,1.01935,0.9388,0.92,0.98318,0.65756,0.99685,1.47022,0.94182,0.000753817,0.000753817,0.000753817
85,936.44,1.09446,1.26998,0.97607,0.9388,0.92,0.98318,0.65756,0.99685,1.47022,0.94182,0.000742815,0.000742815,0.000742815
86,946.799,1.03517,1.35841,1.01972,0.94017,0.99973,0.9821,0.68818,0.97129,1.39959,0.93369,0.000731813,0.000731813,0.000731813
87,957.006,1.02124,1.2501,1.04081,0.94017,0.99973,0.9821,0.68818,0.97129,1.39959,0.93369,0.000720811,0.000720811,0.000720811
88,967.202,1.1158,1.22808,1.01074,0.97979,0.96,0.99346,0.69452,0.99756,1.30821,0.94637,0.000709809,0.000709809,0.000709809
89,977.475,1.14472,1.28363,0.99008,0.97979,0.96,0.99346,0.69452,0.99756,1.30821,0.94637,0.000698806,0.000698806,0.000698806
90,987.655,0.97534,1.2593,0.90891,0.98786,0.95687,0.99275,0.69082,1.00581,1.30464,0.94923,0.000687804,0.000687804,0.000687804
91,997.96,1.09959,1.24138,0.9986,0.98786,0.95687,0.99275,0.69082,1.00581,1.30464,0.94923,0.000676802,0.000676802,0.000676802
92,1008.64,1.03346,1.08094,0.99058,0.98705,0.94532,0.99071,0.69373,0.99006,1.25661,0.94427,0.0006658,0.0006658,0.0006658
93,1018.88,1.30407,1.51562,1.06881,0.98705,0.94532,0.99071,0.69373,0.99006,1.25661,0.94427,0.000654798,0.000654798,0.000654798
94,1029.23,1.06067,1.0316,0.97104,0.99534,0.95817,0.98515,0.68138,0.9917,1.25159,0.93987,0.000643795,0.000643795,0.000643795
95,1039.71,1.14651,1.23308,1.09349,0.99534,0.95817,0.98515,0.68138,0.9917,1.25159,0.93987,0.000632793,0.000632793,0.000632793
96,1050.23,1.17248,1.33377,1.00693,0.97973,0.94776,0.98435,0.69574,0.97287,1.23689,0.93459,0.000621791,0.000621791,0.000621791
97,1060.42,1.0384,1.24576,0.99089,0.97973,0.94776,0.98435,0.69574,0.97287,1.23689,0.93459,0.000610789,0.000610789,0.000610789
98,1070.64,0.94964,1.08478,0.90841,0.92648,0.97493,0.98901,0.68835,0.95622,1.20707,0.93725,0.000599787,0.000599787,0.000599787
99,1080.35,1.13383,1.235,0.99892,0.92648,0.97493,0.98901,0.68835,0.95622,1.20707,0.93725,0.000588784,0.000588784,0.000588784
100,1090.32,0.86361,1.01858,0.90445,0.96081,0.97353,0.99272,0.68915,0.98433,1.20452,0.94416,0.000577782,0.000577782,0.000577782
101,1100.19,1.00972,1.24773,1.03843,0.96081,0.97353,0.99272,0.68915,0.98433,1.20452,0.94416,0.00056678,0.00056678,0.00056678
102,1110.47,1.00711,1.0848,0.9675,0.98724,0.97592,0.995,0.6932,0.979,1.16135,0.94559,0.000555778,0.000555778,0.000555778
103,1121,1.02167,1.10728,0.97243,0.98724,0.97592,0.995,0.6932,0.979,1.16135,0.94559,0.000544776,0.000544776,0.000544776
104,1131.77,1.16883,1.18703,1.07456,0.98726,0.99648,0.995,0.68649,0.93884,1.11401,0.93989,0.000533773,0.000533773,0.000533773
105,1143.25,0.97037,1.12037,0.94941,0.98726,0.99648,0.995,0.68649,0.93884,1.11401,0.93989,0.000522771,0.000522771,0.000522771
106,1154.08,0.96886,1.02443,0.97178,0.99473,1,0.995,0.70092,0.93476,1.0838,0.93345,0.000511769,0.000511769,0.000511769
107,1164.49,1.0257,1.03892,0.97677,0.99473,1,0.995,0.70092,0.93476,1.0838,0.93345,0.000500767,0.000500767,0.000500767
108,1175.01,1.00473,0.98712,0.94061,0.99305,0.99804,0.995,0.71717,0.92022,1.0689,0.92526,0.000489765,0.000489765,0.000489765
109,1185.46,0.98554,1.06312,0.99735,0.99305,0.99804,0.995,0.71717,0.92022,1.0689,0.92526,0.000478762,0.000478762,0.000478762
